Ακαδημαϊκό Έτος,Πλήθος μελών ΣΕΠ,Πλήθος νέων φοιτητών,Πλήθος παλιών φοιτητών,Σύνολο φοιτητών,Νέοι φοιτητές ανά μέλος ΣΕΠ,Παλιοί φοιτητές ανά μέλος ΣΕΠ,Συμμετοχή στην 1η ΟΣΣ,Ποσοστό συμμετοχής στην 1η ΟΣΣ,Συμμετοχή στην 2η ΟΣΣ,Ποσοστό συμμετοχής στην 2η ΟΣΣ,Συμμετοχή στην 3η ΟΣΣ,Ποσοστό συμμετοχής στην 3η ΟΣΣ,Συμμετοχή στην 4η ΟΣΣ,Ποσοστό συμμετοχής στην 4η ΟΣΣ,Συμμετοχή στην 5η ΟΣΣ,Ποσοστό συμμετοχής στην 5η ΟΣΣ,Συμμετοχή στην 1η ΓΕ,Ποσοστό συμμετοχής στην 1η ΓΕ,Μ.Ο. 1ης Γ.Ε.,Συμμετοχή στην 2η ΓΕ,Ποσοστό συμμετοχής στην 2η ΓΕ,Μ.Ο. 2ης Γ.Ε.,Συμμετοχή στην 3η ΓΕ,Ποσοστό συμμετοχής στην 3η ΓΕ,Μ.Ο. 3ης Γ.Ε.,Συμμετοχή στην 4η ΓΕ,Ποσοστό συμμετοχής στην 4η ΓΕ,Μ.Ο. 4ης Γ.Ε.,Πλήθος φοιτητών που δεν ξεκίνησαν,Ποσοστό φοιτητών που δεν ξεκίνησαν,Πλήθος φοιτητών που ξεκίνησαν αλλά εγκατέλειψαν,Ποσοστό φοιτητών που ξεκίνησαν αλλά εγκατέλειψαν,Ποσοστό συνολικών εγκαταλείψεων,Πλήθος φοιτητών που απέκτησαν δικαίωμα εξετάσεων,Ποσοστό φοιτητών που απέκτησαν δικαίωμα εξετάσεων,Πλήθος φοιτητών που συμμετείχαν στις τελικές εξετάσεις,Ποσοστό φοιτητών που συμμετείχαν στις τελικές εξετάσεις,Ποσοστό φοιτητών που συμμετείχαν στις τελικές εξετάσεις επί του συνόλου,Πλήθος φοιτητών που πέτυχαν στις τελικές εξετάσεις,Σχετικό ποσοστό φοιτητών που πέτυχαν στις τελικές εξετάσεις,Ποσοστό φοιτητών που πέτυχαν στις τελικές εξετάσεις επί του συνόλου,Μ.Ο. τελικών εξετάσεων,Πλήθος φοιτητών που συμμετείχαν στις επαναληπτικές εξετάσεις,Σχετικό ποσοστό φοιτητών που συμμετείχαν στις επαναληπτικές εξετάσεις,Ποσοστό φοιτητών που συμμετείχαν στις επαναληπτικές εξετάσεις επί του συνόλου,Πλήθος φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις,Σχετικό ποσοστό φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις,Ποσοστό φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις επί του συνόλου,Μ.Ο. επαναληπικών εξετάσεων,Σύνολο επιτυχόντων,Ποσοστό επιτυχόντων,Συνολικό σχετικό ποσοστό επιτυχόντων,Μ.Ο. τελικού βαθμού επιτυχόντων,Πλήθος παλιών φοιτητών που συμμετείχαν στις τελικές εξετάσεις,Ποσοστό παλιών φοιτητών που συμμετείχαν στις τελικές εξετάσεις,Πλήθος παλιών φοιτητών που πέτυχαν στις τελικές εξετάσεις,Ποσοστό παλιών φοιτητών που πέτυχαν στις τελικές εξετάσεις,Ποσοστό παλιών φοιτητών που πέτυχαν στις τελικές εξετάσεις επί του συνόλου,Πλήθος παλιών φοιτητών που συμμετείχαν στις επαναληπτικές εξετάσεις,Σχετικό ποσοστό παλιών φοιτητών που συμμετείχαν στις επαναληπτικές εξετάσεις,Πλήθος παλιών φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις,Ποσοστό παλιών φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις,Ποσοστό παλιών φοιτητών που πέτυχαν στις επαναληπτικές εξετάσεις επί του συνόλου,Συνολικό ποσοστό επιτυχίας παλιών φοιτητών,Συνολικό σχετικό ποσοστό επιτυχίας παλιών φοιτητών
2000 - 2001,15,498,0.0,498,33.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,,,,,,,,,,,,
2001 - 2002,26,829,,829,31.884615384615383,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,
2002 - 2003,28,970,,970,34.642857142857146,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,
2003 - 2004,31,896,103.0,999,28.903225806451612,3.3225806451612905,709.0,0.7912946428571429,539.0,0.6015625,417.0,0.4654017857142857,377.0,0.42075892857142855,337.0,0.37611607142857145,746.0,0.8325892857142857,7.8,602.0,0.671875,7.29,529.0,0.5904017857142857,7.09,423.0,0.4720982142857143,5.86,135.0,0.15066964285714285,255.0,0.2845982142857143,0.43526785714285715,506.0,0.5647321428571429,428.0,0.8458498023715415,0.47767857142857145,331.0,0.7733644859813084,0.36941964285714285,,86.0,0.49142857142857144,0.09598214285714286,42.0,0.4883720930232558,0.046875,,373.0,0.41629464285714285,0.72568093385214,,,,,,,,,,,,,
2004 - 2005,30,895,104.0,999,29.833333333333332,3.466666666666667,705.0,0.7877094972067039,506.0,0.5653631284916201,371.0,0.4145251396648045,322.0,0.35977653631284917,299.0,0.3340782122905028,724.0,0.8089385474860336,7.74,554.0,0.6189944134078212,6.44,504.0,0.5631284916201117,7.32,388.0,0.4335195530726257,6.02,153.0,0.17094972067039105,279.0,0.311731843575419,0.48268156424581005,463.0,0.5173184357541899,376.0,0.8120950323974082,0.4201117318435754,288.0,0.7659574468085106,0.3217877094972067,,104.0,0.5942857142857143,0.11620111731843576,48.0,0.46153846153846156,0.053631284916201116,,336.0,0.3754189944134078,0.7,,22.0,0.21153846153846154,14.0,0.6363636363636364,0.1346153846153846,14.0,0.15555555555555556,5.0,0.35714285714285715,0.04807692307692308,0.18269230769230768,0.5277777777777778
2005 - 2006,40,1163,70.0,1233,29.075,1.75,947.0,0.8142734307824592,766.0,0.6586414445399829,572.0,0.49183147033533964,467.0,0.40154772141014616,488.0,0.41960447119518485,978.0,0.8409286328460877,8.42,831.0,0.7145313843508169,7.07,733.0,0.6302665520206363,6.48,519.0,0.44625967325881344,6.34,159.0,0.13671539122957868,322.0,0.2768701633705933,0.413585554600172,682.0,0.586414445399828,538.0,0.7888563049853372,0.46259673258813416,351.0,0.6524163568773235,0.30180567497850386,5.22,150.0,0.45317220543806647,0.1289767841788478,96.0,0.64,0.0825451418744626,4.47,447.0,0.38435081685296646,0.6497093023255814,,22.0,0.3142857142857143,5.0,0.22727272727272727,0.07142857142857142,17.0,0.26153846153846155,6.0,0.35294117647058826,0.08571428571428572,0.15714285714285714,0.28205128205128205
2006 - 2007,40,1198,147.0,1345,29.95,3.675,916.0,0.7646076794657763,707.0,0.5901502504173622,499.0,0.41652754590984975,417.0,0.34808013355592654,459.0,0.3831385642737897,965.0,0.8055091819699499,7.67,768.0,0.6410684474123539,6.97,697.0,0.5818030050083473,7.08,507.0,0.42320534223706174,5.86,212.0,0.17696160267111852,348.0,0.2904841402337229,0.4674457429048414,638.0,0.5325542570951586,514.0,0.8056426332288401,0.4290484140233723,351.0,0.6828793774319066,0.2929883138564274,5.71,145.0,0.5052264808362369,0.12103505843071787,72.0,0.496551724137931,0.06010016694490818,4.05,423.0,0.35308848080133554,0.6418816388467374,,39.0,0.2653061224489796,14.0,0.358974358974359,0.09523809523809523,23.0,0.17293233082706766,5.0,0.21739130434782608,0.034013605442176874,0.1292517006802721,0.3064516129032258
2007 - 2008,41,1203,143.0,1346,29.341463414634145,3.4878048780487805,909.0,0.7556109725685786,650.0,0.5403158769742311,487.0,0.40482128013300084,436.0,0.3624272651704073,383.0,0.3183707398171239,935.0,0.7772236076475478,8.24,734.0,0.6101413133832086,6.76,635.0,0.5278470490440565,6.48,467.0,0.3881961762261014,5.83,243.0,0.20199501246882792,364.0,0.3025768911055694,0.5045719035743973,596.0,0.49542809642560265,471.0,0.790268456375839,0.3915211970074813,349.0,0.7409766454352441,0.29010806317539484,6.11,114.0,0.46153846153846156,0.09476309226932668,67.0,0.5877192982456141,0.05569409808811305,4.34,416.0,0.3458021612635079,0.7111111111111111,,37.0,0.25874125874125875,10.0,0.2702702702702703,0.06993006993006994,26.0,0.19548872180451127,9.0,0.34615384615384615,0.06293706293706294,0.13286713286713286,0.30158730158730157
2008 - 2009,43,1194,98.0,1292,27.767441860465116,2.2790697674418605,909.0,0.7613065326633166,642.0,0.5376884422110553,545.0,0.4564489112227806,422.0,0.35343383584589616,438.0,0.36683417085427134,907.0,0.7596314907872697,7.74,747.0,0.6256281407035176,7.74,690.0,0.5778894472361809,6.15,516.0,0.4321608040201005,6.44,251.0,0.2102177554438861,293.0,0.245393634840871,0.4556113902847571,650.0,0.5443886097152428,503.0,0.7738461538461539,0.4212730318257956,366.0,0.7276341948310139,0.3065326633165829,5.69,120.0,0.4225352112676056,0.10050251256281408,79.0,0.6583333333333333,0.0661641541038526,4.62,445.0,0.37269681742043553,0.7142857142857143,6.81,26.0,0.2653061224489796,12.0,0.46153846153846156,0.12244897959183673,13.0,0.1511627906976744,4.0,0.3076923076923077,0.04081632653061224,0.16326530612244897,0.41025641025641024
2009 - 2010,42,1156,125.0,1281,27.523809523809526,2.9761904761904763,879.0,0.7603806228373703,588.0,0.5086505190311419,451.0,0.39013840830449825,359.0,0.31055363321799306,357.0,0.3088235294117647,860.0,0.7439446366782007,7.51,653.0,0.5648788927335641,7.24,571.0,0.4939446366782007,6.84,434.0,0.3754325259515571,6.85,276.0,0.23875432525951557,337.0,0.291522491349481,0.5302768166089965,543.0,0.46972318339100344,418.0,0.7697974217311234,0.3615916955017301,281.0,0.6722488038277512,0.2430795847750865,5.53,109.0,0.41603053435114506,0.09429065743944637,36.0,0.3302752293577982,0.031141868512110725,3.23,317.0,0.2742214532871972,0.6015180265654649,7.07,27.0,0.216,5.0,0.18518518518518517,0.04,19.0,0.15833333333333333,5.0,0.2631578947368421,0.04,0.08,0.21739130434782608
